date,open,high,low,close
1/3/2018,2715.22,2730.89,2659.65,2677.67
2/3/2018,2658.89,2696.25,2647.32,2691.25
5/3/2018,2681.06,2728.09,2675.75,2720.94
6/3/2018,2730.18,2732.08,2711.26,2728.12
7/3/2018,2710.18,2730.6,2701.74,2726.8
8/3/2018,2732.75,2740.45,2722.65,2738.97
9/3/2018,2752.91,2786.57,2751.54,2786.57
12/3/2018,2790.54,2796.98,2779.26,2783.02
13/3/2018,2792.31,2801.9,2758.68,2765.31
14/3/2018,2774.06,2777.11,2744.38,2749.48
15/3/2018,2754.27,2763.03,2741.47,2747.33
16/3/2018,2750.57,2761.85,2749.97,2752.01
19/3/2018,2741.38,2741.38,2694.59,2712.92
20/3/2018,2715.05,2724.22,2710.05,2716.94
21/3/2018,2714.99,2739.14,2709.79,2711.93
22/3/2018,2691.36,2695.68,2641.59,2643.69
23/3/2018,2646.71,2657.67,2585.89,2588.26
26/3/2018,2619.35,2661.36,2601.81,2658.55
27/3/2018,2667.57,2674.78,2596.12,2612.62
28/3/2018,2611.3,2632.65,2593.06,2605
29/3/2018,2614.41,2659.07,2609.72,2640.87
2/4/2018,2633.45,2638.3,2553.8,2581.88
3/4/2018,2592.17,2619.14,2575.49,2614.45
4/4/2018,2584.04,2649.86,2573.61,2644.69
5/4/2018,2657.36,2672.08,2649.58,2662.84
6/4/2018,2645.82,2656.88,2586.27,2604.47
9/4/2018,2617.18,2653.55,2610.79,2613.16
10/4/2018,2638.41,2665.45,2635.78,2656.87
11/4/2018,2643.89,2661.43,2639.25,2642.19
12/4/2018,2653.83,2674.72,2653.83,2663.99
13/4/2018,2676.9,2680.26,2645.05,2656.3
16/4/2018,2670.1,2686.49,2665.16,2677.84
17/4/2018,2692.74,2713.34,2692.05,2706.39
18/4/2018,2710.11,2717.49,2703.63,2708.64
19/4/2018,2701.16,2702.84,2681.9,2693.13
20/4/2018,2692.56,2693.94,2660.61,2670.14
23/4/2018,2675.4,2682.86,2657.99,2670.29
24/4/2018,2680.8,2683.55,2617.32,2634.56
25/4/2018,2634.92,2645.3,2612.67,2639.4
26/4/2018,2651.65,2676.48,2647.16,2666.94
27/4/2018,2675.47,2677.35,2659.01,2669.91
30/4/2018,2675.05,2682.92,2648.04,2648.05
