date,open,high,low,close
28/12/2018,120.8,121.08,120.72,121.06
31/12/2018,120.98,121.26,120.83,121.25
2/1/2019,121.35,121.75,120.88,121.33
3/1/2019,121.78,122.46,121.73,122.43
4/1/2019,121.32,121.6,120.69,121.44
7/1/2019,122.16,122.22,121.5731,121.86
8/1/2019,121.15,121.71,121.06,121.53
9/1/2019,121.45,122.335,121.44,122.31
10/1/2019,121.98,122.179,121.57,121.59
11/1/2019,121.74,122.05,121.66,121.8
14/1/2019,122.15,122.24,121.87,122.09
15/1/2019,122.28,122.38,121.62,121.88
16/1/2019,122.04,122.44,122.02,122.27
17/1/2019,122.03,122.26,121.81,122.11
18/1/2019,121.23,121.515,121.02,121.02
22/1/2019,121.18,121.5,120.9,121.45
23/1/2019,120.96,121.54,120.86,121.28
24/1/2019,121.16,121.36,120.92,121.09
25/1/2019,122.02,122.91,122.02,122.86
28/1/2019,122.75,123.29,122.7178,123.29
29/1/2019,123.71,124,123.46,123.98
30/1/2019,123.91,125.07,123.7,124.69
31/1/2019,125.18,125.23,124.62,124.75
1/2/2019,124.89,125.05,124.37,124.5
4/2/2019,123.99,124.29,123.82,123.96
5/2/2019,124.29,124.42,124.05,124.28
6/2/2019,124.16,124.1899,123.4,123.44
7/2/2019,123.8,123.95,123.4367,123.74
8/2/2019,124.05,124.33,123.9799,124.21
11/2/2019,123.19,123.82,123.19,123.6
12/2/2019,123.96,124.03,123.61,123.86
13/2/2019,123.84,124.55,123.31,123.37
14/2/2019,123.84,124.2,123.53,124.06
15/2/2019,124.59,125,124.18,124.8
19/2/2019,125.98,126.79,125.93,126.7
20/2/2019,127,127.21,126.31,126.48
21/2/2019,126.15,126.22,125.05,125.05
22/2/2019,125.53,125.95,125.39,125.5
25/2/2019,125.78,125.9,125.23,125.37
26/2/2019,125.33,125.6171,125.05,125.58
27/2/2019,125.17,125.226,124.4,124.69
28/2/2019,124.71,124.71,123.98,123.99
1/3/2019,123.48,123.96,121.87,121.88
4/3/2019,121.56,121.85,121.18,121.56
5/3/2019,121.38,121.73,121.03,121.72
6/3/2019,121.43,121.64,121.26,121.61
7/3/2019,121.27,121.71,121.18,121.51
8/3/2019,122.7,122.89,122.37,122.84
11/3/2019,122.52,122.54,121.92,122.24
12/3/2019,122.54,123.03,122.4,122.98
13/3/2019,123.56,123.88,123.425,123.84
14/3/2019,122.33,122.545,122.12,122.41
15/3/2019,123.06,123.4,122.9132,122.97
18/3/2019,123.3,123.3998,122.89,123.04
19/3/2019,123.72,123.79,123.34,123.38
20/3/2019,123.66,124.42,122.65,124.18
21/3/2019,124.36,124.37,123.11,123.68
22/3/2019,123.93,124.22,123.73,123.97
25/3/2019,124.56,125.11,124.4801,124.92
26/3/2019,124.48,124.51,124.07,124.3
27/3/2019,124.35,124.375,123.56,123.65
28/3/2019,122.28,122.355,121.705,121.9
29/3/2019,122.64,122.75,122.01,122.01
1/4/2019,122.4,122.43,121.46,121.53
2/4/2019,121.72,122.01,121.68,121.98
3/4/2019,121.73,122.01,121.675,121.8
4/4/2019,121.1,122.24,120.96,122.11
5/4/2019,121.88,122.13,121.6633,121.98
8/4/2019,122.97,123.0199,122.4,122.51
9/4/2019,123.26,123.35,123.03,123.15
10/4/2019,123.22,123.77,123.19,123.53
11/4/2019,122.54,122.75,121.79,121.95
12/4/2019,121.96,122.31,121.8,121.83
15/4/2019,121.2,121.82,121.095,121.6
16/4/2019,120.38,120.63,120.19,120.51
17/4/2019,120.46,120.51,120.195,120.28
18/4/2019,120.24,120.54,120.15,120.37
22/4/2019,120.46,120.5,120.27,120.37
23/4/2019,119.67,120.2,119.55,120.12
24/4/2019,120.06,120.72,120.04,120.47
25/4/2019,120.72,121.0962,120.5,120.57
26/4/2019,121.26,121.67,121.2199,121.37
29/4/2019,120.88,120.91,120.665,120.83
30/4/2019,120.89,121.36,120.85,121.2
1/5/2019,121.03,121.55,120.18,120.4
2/5/2019,119.69,120.11,119.54,119.94
3/5/2019,120.56,121.08,120.475,120.65
6/5/2019,120.61,121.12,120.54,120.81
7/5/2019,121.02,121.42,120.9067,121.21
8/5/2019,121.54,121.54,120.77,120.91
9/5/2019,120.96,121.62,120.86,121.2
10/5/2019,121.41,121.73,121.3,121.43
13/5/2019,122.63,122.85,122.325,122.67
14/5/2019,122.6,122.66,122.12,122.46
15/5/2019,122.71,122.765,122.2199,122.39
16/5/2019,122.03,122.0734,121.19,121.51
17/5/2019,121.03,121.06,120.33,120.65
20/5/2019,120.51,120.74,120.42,120.64
21/5/2019,120.08,120.36,119.83,120.36
22/5/2019,120.35,120.5,120.19,120.24
23/5/2019,120.82,121.52,120.77,121.17
24/5/2019,121.13,121.31,120.89,121.3
28/5/2019,120.8,120.84,120.46,120.83
29/5/2019,121.11,121.26,120.745,120.87
30/5/2019,120.96,121.69,120.8,121.69
31/5/2019,122.55,123.4,122.315,123.33
3/6/2019,124.09,125.34,123.9,125.11
4/6/2019,124.88,125.42,124.61,125.15
5/6/2019,126.18,126.37,125.24,125.47
6/6/2019,125.93,126.45,125.8,125.88
7/6/2019,126.79,127.25,126.32,126.59
10/6/2019,125.46,125.525,125.065,125.33
