date,open,high,low,close
24/9/2018,100.85,101.0101,100.84,100.89
25/9/2018,100.77,100.81,100.68,100.79
26/9/2018,100.89,101.14,100.84,101.12
27/9/2018,101.05,101.15,100.985,101.12
28/9/2018,101.29,101.295,101.13,101.17
1/10/2018,100.83,100.89,100.71,100.71
2/10/2018,100.86,101.04,100.86,100.97
3/10/2018,100.78,100.79,100.09,100.22
4/10/2018,99.98,100.13,99.88,99.96
5/10/2018,99.82,99.91,99.6,99.72
8/10/2018,99.82,99.86,99.74,99.76
9/10/2018,99.79,99.95,99.76,99.95
10/10/2018,99.71,100.025,99.665,100
11/10/2018,100.22,100.55,100.093,100.41
12/10/2018,100.29,100.53,100.24,100.29
15/10/2018,100.39,100.44,100.2601,100.35
16/10/2018,100.27,100.35,100.2,100.34
17/10/2018,100.32,100.42,100.05,100.05
18/10/2018,100,100.4,99.945,100.23
19/10/2018,100.22,100.24,100.03,100.11
22/10/2018,100.22,100.26,100.12,100.13
23/10/2018,100.65,100.7901,100.34,100.39
24/10/2018,100.67,100.96,100.6,100.93
25/10/2018,100.75,100.82,100.6,100.69
26/10/2018,101.07,101.3,101.04,101.14
29/10/2018,101.01,101.24,100.85,101.13
30/10/2018,100.94,101.06,100.865,100.91
31/10/2018,100.61,100.74,100.55,100.66
1/11/2018,100.36,100.57,100.33,100.53
2/11/2018,100.29,100.32,99.93,99.97
5/11/2018,100.16,100.1966,100.03,100.03
6/11/2018,100.1,100.1,99.91,99.92
7/11/2018,100.09,100.1698,99.905,99.92
8/11/2018,100,100.02,99.75,99.78
9/11/2018,99.93,100.22,99.915,100.17
12/11/2018,100.38,100.51,100.33,100.47
13/11/2018,100.42,100.575,100.345,100.55
14/11/2018,100.43,100.96,100.39,100.76
15/11/2018,101.01,101.06,100.71,100.83
16/11/2018,101.06,101.18,100.98,101.14
19/11/2018,101.06,101.32,101.06,101.29
20/11/2018,101.32,101.42,101.23,101.27
21/11/2018,101.18,101.25,101.07,101.25
23/11/2018,101.46,101.465,101.31,101.31
26/11/2018,101.19,101.23,101.125,101.23
27/11/2018,101.2,101.4,101.185,101.33
28/11/2018,101.25,101.455,101.17,101.32
29/11/2018,101.59,101.73,101.46,101.58
30/11/2018,101.73,101.82,101.66,101.78
3/12/2018,101.44,101.79,101.405,101.79
4/12/2018,101.97,102.455,101.94,102.26
6/12/2018,102.65,102.965,102.5,102.52
7/12/2018,102.49,102.855,102.36,102.82
10/12/2018,102.84,103.037,102.7101,102.88
11/12/2018,102.64,102.85,102.5,102.62
12/12/2018,102.45,102.5,102.31,102.34
13/12/2018,102.46,102.4981,102.335,102.4
14/12/2018,102.57,102.715,102.515,102.56
17/12/2018,102.66,102.93,102.65,102.86
18/12/2018,102.75,102.95,102.68,102.9
19/12/2018,103.01,103.48,102.78,103.26
20/12/2018,103.45,103.465,103.09,103.13
21/12/2018,103.2,103.23,103.055,103.22
24/12/2018,103.38,103.49,103.2631,103.48
26/12/2018,103.47,103.62,102.95,102.99
27/12/2018,103.43,103.63,103.23,103.25
28/12/2018,103.42,103.82,103.385,103.81
31/12/2018,103.69,104.66,103.63,104.2
2/1/2019,104.31,104.43,104.18,104.42
3/1/2019,104.46,105.315,104.44,105.25
4/1/2019,104.55,104.5872,104.27,104.4
7/1/2019,104.52,104.565,104.07,104.11
8/1/2019,104,104.09,103.85,103.85
9/1/2019,103.84,103.99,103.77,103.91
10/1/2019,104.07,104.135,103.79,103.86
11/1/2019,104.14,104.26,104.07,104.17
14/1/2019,104.21,104.285,104.05,104.11
15/1/2019,104.29,104.29,103.9712,104.01
16/1/2019,103.89,104,103.805,103.95
17/1/2019,103.9,103.95,103.675,103.76
18/1/2019,103.61,103.72,103.35,103.43
22/1/2019,103.72,103.91,103.67,103.79
23/1/2019,103.61,103.85,103.575,103.74
24/1/2019,104.06,104.18,103.975,104.07
25/1/2019,103.89,103.94,103.73,103.83
28/1/2019,103.79,103.98,103.79,103.86
29/1/2019,103.94,104.16,103.93,104.16
30/1/2019,104.05,104.43,103.96,104.4
31/1/2019,104.64,104.93,104.61,104.88
1/2/2019,104.47,104.49,104.09,104.1
4/2/2019,103.97,103.97,103.81,103.87
5/2/2019,104,104.178,103.99,104.05
6/2/2019,104.28,104.285,104.07,104.13
7/2/2019,104.42,104.55,104.348,104.47
8/2/2019,104.63,104.73,104.59,104.61
11/2/2019,104.45,104.54,104.37,104.45
12/2/2019,104.38,104.39,104.215,104.31
13/2/2019,104.07,104.17,104,104.05
14/2/2019,104.61,104.615,104.41,104.54
15/2/2019,104.35,104.465,104.34,104.44
19/2/2019,104.63,104.695,104.55,104.62
20/2/2019,104.62,104.7,104.52,104.6
21/2/2019,104.3,104.34,104.22,104.29
22/2/2019,104.5,104.715,104.46,104.6
25/2/2019,104.43,104.5,104.36,104.44
26/2/2019,104.75,104.79,104.6,104.75
27/2/2019,104.57,104.58,104.3,104.38
28/2/2019,104.34,104.35,104.06,104.11
1/3/2019,103.74,103.85,103.57,103.57
4/3/2019,103.73,103.9493,103.66,103.89
5/3/2019,103.77,103.96,103.695,103.95
6/3/2019,103.99,104.285,103.99,104.24
7/3/2019,104.44,104.67,104.43,104.59
8/3/2019,104.69,104.83,104.58,104.74
11/3/2019,104.73,104.73,104.565,104.66
12/3/2019,104.74,105,104.7,104.95
13/3/2019,104.84,104.94,104.8,104.91
14/3/2019,104.86,104.905,104.65,104.76
15/3/2019,105.08,105.17,104.97,105.09
18/3/2019,104.99,105.08,104.94,104.95
19/3/2019,104.78,104.99,104.75,104.88
20/3/2019,105.03,105.64,105.01,105.61
21/3/2019,105.73,105.75,105.482,105.56
22/3/2019,106.09,106.51,106.04,106.34
25/3/2019,106.34,106.855,106.25,106.61
26/3/2019,106.39,106.685,106.343,106.52
27/3/2019,106.81,107.08,106.75,106.83
28/3/2019,106.8,106.9067,106.655,106.84
29/3/2019,106.47,106.68,106.435,106.67
1/4/2019,106.1,106.125,105.68,105.72
2/4/2019,105.82,105.92,105.761,105.9
3/4/2019,105.57,105.685,105.515,105.57
4/4/2019,105.615,105.72,105.55,105.68
5/4/2019,105.6,105.8,105.585,105.73
8/4/2019,105.71,105.755,105.555,105.56
9/4/2019,105.82,105.88,105.72,105.75
10/4/2019,105.92,106.07,105.905,106
11/4/2019,105.83,105.865,105.72,105.76
12/4/2019,105.39,105.45,105.27,105.27
15/4/2019,105.29,105.42,105.29,105.41
16/4/2019,105.19,105.245,105.03,105.05
17/4/2019,105,105.175,105,105.07
18/4/2019,105.33,105.455,105.29,105.32
22/4/2019,105.26,105.27,105.12,105.17
23/4/2019,105.32,105.39,105.2833,105.36
24/4/2019,105.66,105.77,105.64,105.76
25/4/2019,105.73,105.79,105.59,105.63
26/4/2019,105.97,105.99,105.85,105.91
29/4/2019,105.72,105.77,105.61,105.69
30/4/2019,105.63,105.93,105.615,105.9
1/5/2019,105.7,106.11,105.55,105.64
2/5/2019,105.53,105.57,105.27,105.34
3/5/2019,105.46,105.62,105.43,105.48
6/5/2019,105.88,105.92,105.73,105.75
7/5/2019,106.01,106.19,105.96,106.11
8/5/2019,106.21,106.25,105.86,105.91
9/5/2019,106.3,106.425,106.045,106.19
10/5/2019,106.24,106.4179,106.05,106.12
13/5/2019,106.57,106.735,106.52,106.65
14/5/2019,106.57,106.615,106.44,106.55
15/5/2019,106.94,106.9731,106.74,106.89
16/5/2019,106.65,106.715,106.55,106.68
17/5/2019,106.91,106.91,106.615,106.73
20/5/2019,106.75,106.84,106.53,106.55
21/5/2019,106.48,106.5164,106.34,106.43
22/5/2019,106.6,106.8,106.57,106.75
23/5/2019,107.01,107.56,107.01,107.4
24/5/2019,107.33,107.37,107.23,107.37
28/5/2019,107.62,107.84,107.5323,107.84
29/5/2019,108.09,108.235,107.78,107.8
30/5/2019,107.86,108.2401,107.72,108.19
31/5/2019,108.56,108.95,108.49,108.91
3/6/2019,108.88,109.335,108.765,109.22
4/6/2019,108.76,108.99,108.595,108.82
5/6/2019,108.96,109.125,108.76,108.82
6/6/2019,108.91,109.1,108.725,108.8
7/6/2019,109.4,109.42,109.14,109.23
10/6/2019,108.86,108.88,108.675,108.685
11/6/2019,108.62,108.768,108.575,108.685
12/6/2019,108.77,108.99,108.76,108.97
13/6/2019,109.07,109.33,109.045,109.24
14/6/2019,109.16,109.3766,109.15,109.32
17/6/2019,109.3,109.38,109.1732,109.3
18/6/2019,109.75,109.8,109.4075,109.51
19/6/2019,109.28,109.9,109.205,109.81
20/6/2019,110.04,110.28,109.965,109.99
21/6/2019,109.73,109.765,109.45,109.54
24/6/2019,109.74,109.94,109.71,109.92
25/6/2019,110.03,110.225,109.945,110.09
26/6/2019,109.95,109.95,109.6,109.64
27/6/2019,109.77,110.03,109.68,109.97
28/6/2019,109.87,110.109,109.81,110.02
1/7/2019,109.82,109.87,109.5,109.69
2/7/2019,109.81,110.145,109.79,110.08
3/7/2019,110.21,110.4,110.2,110.29
5/7/2019,109.65,109.65,109.3423,109.59
8/7/2019,109.75,109.815,109.48,109.48
9/7/2019,109.49,109.5,109.34,109.41
10/7/2019,109.51,109.62,109.34,109.47
11/7/2019,109.33,109.398,108.88,108.93
12/7/2019,108.92,109.165,108.89,109.05
15/7/2019,109.14,109.28,109.0732,109.28
16/7/2019,108.93,109.08,108.83,109.04
17/7/2019,109.23,109.56,109.22,109.55
18/7/2019,109.43,109.885,109.4,109.82
19/7/2019,109.59,109.73,109.51,109.62
22/7/2019,109.79,109.8,109.63,109.67
23/7/2019,109.55,109.66,109.4237,109.49
24/7/2019,109.64,109.7465,109.56,109.65
25/7/2019,109.52,109.53,109.23,109.46
26/7/2019,109.5,109.5084,109.3231,109.44
29/7/2019,109.62,109.66,109.52,109.54
30/7/2019,109.63,109.67,109.445,109.59
31/7/2019,109.56,109.99,109.39,109.87
1/8/2019,109.84,110.92,109.79,110.92
2/8/2019,110.94,111.2,110.84,111.15
5/8/2019,111.82,112.2,111.76,112.11
6/8/2019,111.88,112.3,111.785,112.29
7/8/2019,113.07,113.27,112.17,112.29
8/8/2019,111.99,112.4077,111.66,112.3
9/8/2019,112.38,112.6,112.06,112.13
12/8/2019,112.54,112.9763,112.51,112.84
13/8/2019,112.86,112.885,112.145,112.44
14/8/2019,113.09,113.29,113,113.19
15/8/2019,113.34,114.17,113.28,113.91
16/8/2019,113.51,113.67,113.17,113.61
19/8/2019,113.04,113.26,113.01,113.07
20/8/2019,113.52,113.66,113.455,113.57
21/8/2019,113.27,113.57,113.21,113.27
22/8/2019,113.05,113.37,112.995,113.02
23/8/2019,113.13,113.94,113.005,113.78
26/8/2019,113.73,113.93,113.58,113.67
27/8/2019,113.81,114.19,113.81,114.16
28/8/2019,114.35,114.39,114.12,114.2
29/8/2019,114.1,114.1,113.69,113.98
30/8/2019,113.775,114.05,113.74,114.01
3/9/2019,113.88,114.44,113.7,114.07
4/9/2019,113.95,114.3,113.945,114.25
5/9/2019,113.585,113.62,113.08,113.33
6/9/2019,113.34,113.53,113.265,113.4
9/9/2019,112.86,112.94,112.69,112.7
10/9/2019,112.53,112.625,111.88,111.88
11/9/2019,111.78,111.97,111.75,111.77
12/9/2019,112.1,112.16,111.35,111.52
13/9/2019,111.1,111.21,110.5,110.5
16/9/2019,110.9,111.1,110.75,110.98
17/9/2019,111.04,111.38,110.94,111.27
18/9/2019,111.57,111.8,111.2,111.31
19/9/2019,111.58,111.59,111.32,111.36
20/9/2019,111.54,112.02,111.48,112
23/9/2019,112.14,112.4799,112.055,112.16
24/9/2019,112.22,112.815,112.21,112.72
25/9/2019,112.59,112.69,111.9,111.98
26/9/2019,112.25,112.43,112.155,112.22
27/9/2019,112.23,112.49,112.19,112.38
30/9/2019,112.21,112.51,112.1735,112.47
1/10/2019,111.85,112.86,111.8077,112.61
2/10/2019,112.73,113.1799,112.71,113
3/10/2019,113.16,113.88,113.14,113.59
4/10/2019,113.58,113.885,113.51,113.81
7/10/2019,113.56,113.68,113.395,113.43
8/10/2019,113.82,113.865,113.48,113.67
9/10/2019,113.55,113.55,113.2,113.38
10/10/2019,113.06,113.08,112.56,112.67
11/10/2019,112.13,112.18,111.72,111.9
14/10/2019,112.25,112.2856,112.16,112.21
15/10/2019,112.16,112.24,111.64,111.67
16/10/2019,111.84,112.02,111.75,111.89
17/10/2019,111.8,112.085,111.72,111.85
18/10/2019,111.92,112.12,111.8699,111.95
21/10/2019,111.66,111.785,111.505,111.54
22/10/2019,111.81,111.845,111.5,111.8
23/10/2019,112.02,112.07,111.785,111.84
24/10/2019,111.89,112.07,111.78,111.82
25/10/2019,111.9,111.92,111.42,111.58
28/10/2019,111.19,111.22,111.05,111.16
29/10/2019,111.3,111.35,111.15,111.26
30/10/2019,111.35,111.81,111.31,111.8
31/10/2019,112.11,112.58,112.07,112.51
1/11/2019,112.18,112.42,111.875,112.13
4/11/2019,111.63,111.69,111.5,111.56
5/11/2019,111.13,111.17,110.845,110.96
6/11/2019,111.19,111.39,110.98,111.28
7/11/2019,110.71,110.71,109.975,110.39
8/11/2019,110.29,110.64,110.235,110.24
11/11/2019,110.49,110.52,110.24,110.36
12/11/2019,110.35,110.502,110.18,110.41
13/11/2019,110.82,110.86,110.6334,110.71
14/11/2019,111.19,111.4,111.14,111.27
15/11/2019,111.09,111.29,111.08,111.18
18/11/2019,111.36,111.49,111.33,111.37
19/11/2019,111.39,111.62,111.39,111.58
20/11/2019,111.8,112.02,111.715,111.99
21/11/2019,111.72,111.825,111.57,111.71
22/11/2019,111.77,111.805,111.6034,111.69
25/11/2019,111.7,111.78,111.675,111.74
26/11/2019,111.91,111.99,111.85,111.95
27/11/2019,111.72,111.77,111.605,111.66
29/11/2019,111.62,111.63,111.44,111.57
2/12/2019,110.87,111.12,110.81,111.01
3/12/2019,111.58,112.17,111.57,112
4/12/2019,111.77,111.86,111.385,111.57
5/12/2019,111.15,111.42,111.1364,111.31
6/12/2019,110.88,111.19,110.8266,110.97
9/12/2019,111.21,111.22,111.04,111.06
10/12/2019,111.15,111.19,110.91,110.93
11/12/2019,111.1,111.47,111.075,111.39
12/12/2019,111.28,111.3,110.31,110.51
13/12/2019,110.81,111.23,110.48,111.16
16/12/2019,110.88,110.8836,110.57,110.64
17/12/2019,110.77,110.8247,110.58,110.65
18/12/2019,110.58,110.61,110.23,110.35
19/12/2019,110.12,110.42,110.08,110.28
20/12/2019,110.11,110.3,110.08,110.28
23/12/2019,110.31,110.375,110.085,110.18
24/12/2019,110.04,110.41,110.035,110.37
26/12/2019,110.41,110.53,110.27,110.53
27/12/2019,110.62,110.73,110.62,110.69
30/12/2019,110.31,110.62,110.235,110.62
31/12/2019,110.44,110.49,110.21,110.22
2/1/2020,110.69,110.95,110.63,110.73
3/1/2020,111.15,111.49,111.04,111.47
6/1/2020,111.66,111.67,111.26,111.35
7/1/2020,111.33,111.43,111.19,111.19
8/1/2020,111.29,111.415,110.79,110.93
9/1/2020,110.68,111.04,110.63,111.01
10/1/2020,111.09,111.315,111.09,111.25
13/1/2020,111.11,111.14,110.9846,111.12
14/1/2020,111.18,111.355,111.16,111.34
15/1/2020,111.55,111.62,111.425,111.62
16/1/2020,111.45,111.51,111.3,111.39
17/1/2020,111.13,111.3,111.09,111.3
21/1/2020,111.55,111.78,111.535,111.74
22/1/2020,111.74,111.82,111.68,111.76
23/1/2020,112.03,112.24,111.985,112.04
24/1/2020,112.18,112.61,112.155,112.44
27/1/2020,113.19,113.205,113.025,113.2
28/1/2020,113.09,113.12,112.78,112.82
29/1/2020,112.97,113.41,112.965,113.36
30/1/2020,113.55,113.83,113.395,113.47
31/1/2020,113.715,114.12,113.69,114.04
3/2/2020,113.61,113.838,113.32,113.79
4/2/2020,113.24,113.2538,112.96,113.13
5/2/2020,112.71,112.8693,112.62,112.64
6/2/2020,112.61,112.8,112.555,112.72
7/2/2020,113.18,113.36,113.09,113.26
10/2/2020,113.5,113.615,113.37,113.48
11/2/2020,113.325,113.37,113.14,113.21
12/2/2020,112.97,112.993,112.83,112.92
13/2/2020,112.98,113.14,112.94,113.02
14/2/2020,113.27,113.37,113.205,113.3
18/2/2020,113.45,113.65,113.3479,113.48
19/2/2020,113.36,113.51,113.3,113.46
20/2/2020,113.63,113.942,113.615,113.79
21/2/2020,114.09,114.53,114.08,114.25
